FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.436,0.324,0.826,23.0,40.0,24.0,7.0,5.0,3.0,HOU,-6,0,0,CHI,0.6341463414634146
0.511,0.395,0.81,21.0,43.0,36.0,13.0,10.0,5.0,UTA,2,1,1,CHI,0.2682926829268293
0.477,0.314,0.8,20.0,41.0,28.0,8.0,10.0,10.0,BRK,-3,0,0,CHI,0.24390243902439024
0.521,0.435,0.667,9.0,44.0,41.0,9.0,8.0,5.0,BRK,22,1,1,CHI,0.24390243902439024
0.565,0.532,0.75,12.0,42.0,40.0,12.0,10.0,11.0,LAC,28,1,1,CHI,0.5060240963855421
0.442,0.436,0.818,33.0,43.0,28.0,12.0,7.0,1.0,MIN,5,0,1,CHI,0.5975609756097561
0.506,0.467,0.875,8.0,44.0,32.0,15.0,2.0,6.0,BOS,3,1,1,CHI,0.6829268292682927
0.524,0.367,0.778,18.0,40.0,31.0,15.0,5.0,0.0,LAL,-11,1,0,CHI,0.6463414634146342
0.477,0.4,0.778,18.0,47.0,27.0,11.0,3.0,3.0,IND,-3,0,0,CHI,0.23170731707317074
0.394,0.395,0.828,29.0,52.0,25.0,16.0,5.0,4.0,MIA,-3,1,0,CHI,0.5180722891566265
0.523,0.5,0.722,18.0,43.0,34.0,24.0,8.0,5.0,MIA,7,0,1,CHI,0.5180722891566265
0.322,0.146,0.853,34.0,47.0,18.0,19.0,5.0,6.0,MIA,-43,0,0,CHI,0.5180722891566265
0.44,0.373,0.696,23.0,43.0,26.0,10.0,9.0,11.0,MIL,-16,0,0,CHI,0.3902439024390244
0.451,0.367,0.875,8.0,38.0,28.0,17.0,9.0,4.0,TOR,-16,0,0,CHI,0.5609756097560976
0.446,0.392,0.9,20.0,37.0,25.0,17.0,9.0,3.0,DEN,-16,1,0,CHI,0.6585365853658537
0.44,0.278,0.781,32.0,39.0,20.0,18.0,13.0,8.0,BRK,-8,0,0,CHI,0.24390243902439024
0.461,0.333,0.846,13.0,34.0,25.0,13.0,9.0,5.0,BOS,-19,0,0,CHI,0.6829268292682927
0.419,0.3,0.81,21.0,46.0,22.0,23.0,6.0,5.0,TOR,-9,1,0,CHI,0.5609756097560976
0.452,0.425,0.708,24.0,44.0,29.0,23.0,10.0,13.0,DET,-16,1,0,CHI,0.7317073170731707
0.395,0.348,0.714,21.0,50.0,24.0,17.0,8.0,2.0,NYK,-6,1,0,CHI,0.6463414634146342
0.427,0.4,0.867,15.0,33.0,18.0,21.0,9.0,1.0,CHO,-32,1,0,CHI,0.5357142857142857
0.5,0.3,0.767,30.0,41.0,29.0,22.0,8.0,4.0,POR,-9,1,0,CHI,0.5180722891566265
0.512,0.367,0.696,23.0,50.0,34.0,18.0,14.0,8.0,MIL,23,1,1,CHI,0.3902439024390244
0.433,0.347,0.684,19.0,53.0,27.0,19.0,3.0,3.0,OKC,-8,1,0,CHI,0.7804878048780488
0.477,0.25,0.64,25.0,46.0,23.0,13.0,8.0,3.0,PHO,2,0,1,CHI,0.5476190476190477
0.417,0.378,0.676,34.0,49.0,27.0,14.0,2.0,6.0,SAC,-16,0,0,CHI,0.2682926829268293
0.446,0.319,0.833,18.0,64.0,34.0,14.0,6.0,6.0,GSW,6,0,1,CHI,0.4523809523809524
0.537,0.417,0.813,16.0,41.0,34.0,16.0,7.0,3.0,LAL,-12,0,0,CHI,0.6463414634146342
0.442,0.293,0.923,13.0,48.0,23.0,15.0,5.0,7.0,LAC,-11,0,0,CHI,0.5060240963855421
0.516,0.375,0.857,21.0,47.0,30.0,17.0,9.0,6.0,MEM,25,1,1,CHI,0.3048780487804878
